GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
recipe-cost-calculator-app,com.turankanbur.calculator,IngredientMenu.new MouseAdapter() {...},11,6,0,0,4,1,1,1,1,1
recipe-cost-calculator-app,com.turankanbur.calculator,IngredientMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
recipe-cost-calculator-app,com.turankanbur.calculator,PswrdValidObserver,6,33,0,2,4,11,2,4,2,3
recipe-cost-calculator-app,com.turankanbur.calculator,RemoveMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,IngredientMenu.new MouseAdapter() {...},0,17,0,0,0,5,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,RegisterMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
recipe-cost-calculator-app,com.turankanbur.calculator,RemoveMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,DBFacadeLogin,14,32,0,0,3,10,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,DBFacadeRemoveMeal,19,132,1,3,7,36,1,5,0,4
recipe-cost-calculator-app,com.turankanbur.calculator,IngredientMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
recipe-cost-calculator-app,com.turankanbur.calculator,RemoveMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,IngredientMenu.new MouseAdapter() {...},0,20,0,0,0,6,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,RegisterMenu.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
recipe-cost-calculator-app,com.turankanbur.calculator,RegisterMenu.new KeyAdapter() {...},5,6,0,0,2,1,1,1,1,1
recipe-cost-calculator-app,com.turankanbur.calculator,RegisterMenu.new MouseAdapter() {...},8,33,0,0,2,6,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,RegisterMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
recipe-cost-calculator-app,com.turankanbur.calculator,AddIngredientMenu,0,458,2,6,0,98,2,8,0,6
recipe-cost-calculator-app,com.turankanbur.calculator,DBFacadeRemoveRecipe,19,132,1,3,7,37,1,5,0,4
recipe-cost-calculator-app,com.turankanbur.calculator,DBFacadeLERIng,76,246,10,8,18,62,7,8,0,6
recipe-cost-calculator-app,com.turankanbur.calculator,LERIngMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,LERIngMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,LERIngMenu.new MouseAdapter() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,LERIngMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,RegisterMenu,2,439,0,0,2,84,2,3,2,3
recipe-cost-calculator-app,com.turankanbur.calculator,CreateMealMenu,3,1802,0,0,3,135,3,8,3,8
recipe-cost-calculator-app,com.turankanbur.calculator,RecipeMenu,0,370,0,0,0,72,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,DBFacadeCreateRecipe,95,458,8,26,24,99,8,20,1,10
recipe-cost-calculator-app,com.turankanbur.calculator,MainMenu,17,456,1,1,7,93,2,7,1,7
recipe-cost-calculator-app,com.turankanbur.calculator,PlanMealMenu.new MouseAdapter() {...},11,6,0,0,4,1,1,1,1,1
recipe-cost-calculator-app,com.turankanbur.calculator,PlanMealMenu.new MouseAdapter() {...},0,17,0,0,0,5,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,PlanMealMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
recipe-cost-calculator-app,com.turankanbur.calculator,PlanMealMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
recipe-cost-calculator-app,com.turankanbur.calculator,PlanMealMenu.new MouseAdapter() {...},0,17,0,0,0,5,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,PlanMealMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
recipe-cost-calculator-app,com.turankanbur.calculator,PlanMealMenu.new MouseAdapter() {...},0,20,0,0,0,6,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,ListMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,ListMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
